LotArea,Neighborhood,HouseStyle,OverallCond,YearBuilt,Exterior1st,GarageCars,TotRmsAbvGrd,SaleType,MSZoning,SalePrice
8450,CollgCr,2Story,5,2003,VinylSd,2,8,WD,RL,208500
9600,Veenker,1Story,8,1976,MetalSd,2,6,WD,RL,181500
11250,CollgCr,2Story,5,2001,VinylSd,2,6,WD,RL,223500
14260,NoRidge,2Story,5,2000,VinylSd,3,9,WD,RL,250000
14115,Mitchel,1.5Fin,5,1993,VinylSd,2,5,WD,RL,143000
10084,Somerst,1Story,5,2004,VinylSd,2,7,WD,RL,307000
10382,NWAmes,2Story,6,1973,HdBoard,2,7,WD,RL,200000
6120,OldTown,1.5Fin,5,1931,BrkFace,2,8,WD,RM,129900
7420,BrkSide,1.5Unf,6,1939,MetalSd,1,5,WD,RL,118000
11200,Sawyer,1Story,5,1965,HdBoard,1,5,WD,RL,129500
11924,NridgHt,2Story,5,2005,WdShing,3,11,New,RL,345000
10652,CollgCr,1Story,5,2006,VinylSd,3,7,New,RL,279500
11241,NAmes,1Story,7,1970,Wd Sdng,2,5,WD,RL,149000
10791,Sawyer,1Story,5,1967,MetalSd,2,6,WD,RL,90000
13695,SawyerW,1Story,5,2004,VinylSd,2,6,WD,RL,159000
7560,NAmes,1Story,6,1958,BrkFace,1,6,COD,RL,139000
14215,NridgHt,2Story,5,2005,VinylSd,3,9,New,RL,325300
9742,CollgCr,1Story,5,2002,VinylSd,2,7,WD,RL,230000
4224,MeadowV,1Story,7,1976,CemntBd,2,6,WD,RM,129900
8246,Sawyer,1Story,8,1968,Plywood,1,6,WD,RL,154000
14230,NridgHt,1Story,5,2007,VinylSd,3,7,WD,RL,256300
16321,NAmes,1Story,6,1957,MetalSd,1,6,WD,RL,207500
6324,BrkSide,1Story,6,1927,MetalSd,1,4,WD,RM,68500
8500,IDOTRR,2Story,4,1920,BrkFace,1,6,WD,C (all),40000
8544,Sawyer,1Story,6,1966,HdBoard,1,6,WD,RL,149350
11049,CollgCr,1Story,5,2007,VinylSd,2,7,WD,RL,179900
10552,NAmes,1Story,5,1959,BrkFace,2,6,WD,RL,165500
10859,CollgCr,1Story,5,1994,VinylSd,2,6,WD,RL,145000
8532,NAmes,1Story,6,1954,Wd Sdng,2,5,WD,RL,153000
6040,Edwards,1Story,5,1955,AsbShng,0,6,WD,RL,82000
8658,NAmes,1Story,5,1965,Wd Sdng,2,6,WD,RL,160000
16905,Timber,1Story,6,1959,VinylSd,1,5,WD,RL,170000
9200,CollgCr,1Story,6,1975,VinylSd,1,5,WD,RL,130250
7945,NAmes,1Story,6,1959,BrkFace,1,6,WD,RL,141000
12822,Mitchel,1.5Fin,5,2003,VinylSd,2,6,WD,RL,239686
7742,Sawyer,1Story,7,1966,HdBoard,1,6,WD,RL,127000
13869,Gilbert,2Story,6,1997,VinylSd,2,6,WD,RL,177000
8472,IDOTRR,1Story,5,1963,Wd Sdng,2,5,WD,RM,110000
50271,Veenker,1Story,5,1981,WdShing,3,5,WD,RL,385000
7134,NAmes,SLvl,5,1955,MetalSd,2,6,WD,RL,130000
2645,Somerst,2Story,5,1999,MetalSd,2,7,WD,FV,172500
11645,CollgCr,2Story,5,2004,VinylSd,2,7,WD,RL,196500
13682,StoneBr,2Story,5,2006,VinylSd,3,10,New,RL,438780
7200,IDOTRR,2.5Unf,7,1920,MetalSd,1,6,WD,RM,101000
10300,OldTown,2Story,6,1921,Stucco,2,9,WD,RM,140000
